member_casual,time_of_day,nr_of_rentals
casual,3-6 PM,26.046088856868156
casual,6-9 PM,18.68763102515733
casual,0-3 PM,19.972471280085475
member,9-12 AM,13.459632167689236
member,0-3 AM,1.816188574377414
member,9-12 PM,6.805519933986468
member,3-6 AM,1.4367965756747116
casual,9-12 PM,9.2382204227503415
casual,9-12 AM,13.286382183228479
member,6-9 AM,15.698343383542619
casual,0-3 AM,4.0229629322236518
casual,3-6 AM,1.4024347867824145
member,0-3 PM,15.847752209389698
casual,6-9 AM,7.34380851290415
member,3-6 PM,26.858256435319941
member,6-9 PM,18.077510720019909
